# Quarter-end close prices from Stooq
ticker,period,close
ADAM,2016-09-30,9.61818
ADAM,2016-12-31,10.9075
ADAM,2017-03-31,10.5189
ADAM,2017-06-30,10.9398
ADAM,2017-09-30,11.167
ADAM,2017-12-31,11.5643
ADAM,2018-03-31,11.4982
ADAM,2018-06-30,12.0444
ADAM,2018-09-30,12.5847
ADAM,2018-12-31,12.5998
ADAM,2019-03-31,13.4579
ADAM,2019-06-30,14.141
ADAM,2019-09-30,14.3586
ADAM,2019-12-31,15.1593
ADAM,2020-03-31,3.77174
ADAM,2020-06-30,6.47165
ADAM,2020-09-30,6.50534
ADAM,2020-12-31,9.66698
ADAM,2021-03-31,11.9762
ADAM,2021-06-30,12.2372
ADAM,2021-09-30,11.9371
ADAM,2021-12-31,10.7012
ADAM,2022-03-31,10.789
ADAM,2022-06-30,8.47698
ADAM,2022-09-30,7.4722
ADAM,2022-12-31,8.28139
ADAM,2023-03-31,8.05498
ADAM,2023-06-30,8.02264
ADAM,2023-09-30,6.86615
ADAM,2023-12-31,7.05782
ADAM,2024-03-31,6.12447
ADAM,2024-06-30,5.14162
ADAM,2024-09-30,5.74911
ADAM,2024-12-31,5.69769
ADAM,2025-03-31,6.29569
ADAM,2025-06-30,6.7
ADAM,2025-09-30,6.97
ADAM,2025-12-31,7.3
ADAM,2026-03-31,7.39
CMTG,2021-12-31,15.2916
CMTG,2022-03-31,16.3271
CMTG,2022-06-30,16.2819
CMTG,2022-09-30,11.74
CMTG,2022-12-31,14.71
CMTG,2023-03-31,11.65
CMTG,2023-06-30,11.34
CMTG,2023-09-30,11.08
CMTG,2023-12-31,13.63
CMTG,2024-03-31,9.76
CMTG,2024-06-30,8.02
CMTG,2024-09-30,7.49
CMTG,2024-12-31,4.52
CMTG,2025-03-31,3.73
CMTG,2025-06-30,2.85
CMTG,2025-09-30,3.32
CMTG,2025-12-31,3.06
CMTG,2026-03-31,2.15
REFI,2021-12-31,15.3205
REFI,2022-03-31,16.6687
REFI,2022-06-30,14.5878
REFI,2022-09-30,14.41
REFI,2022-12-31,15.07
REFI,2023-03-31,13.51
REFI,2023-06-30,15.15
REFI,2023-09-30,14.72
REFI,2023-12-31,16.18
REFI,2024-03-31,15.77
REFI,2024-06-30,15.36
REFI,2024-09-30,15.51
REFI,2024-12-31,15.42
REFI,2025-03-31,14.7
REFI,2025-06-30,13.96
REFI,2025-09-30,12.79
REFI,2025-12-31,12.26
REFI,2026-03-31,12.01
MITT,2011-09-30,20.1786
MITT,2011-12-31,21.7215
MITT,2012-03-31,21.2998
MITT,2012-06-30,23.1865
MITT,2012-09-30,26.0353
MITT,2012-12-31,25.3415
MITT,2013-03-31,28.3419
MITT,2013-06-30,21.7345
MITT,2013-09-30,19.8889
MITT,2013-12-31,19.4439
MITT,2014-03-31,22.5186
MITT,2014-06-30,25.1186
MITT,2014-09-30,24.3792
MITT,2014-12-31,26.2648
MITT,2015-03-31,27.5059
MITT,2015-06-30,26.0642
MITT,2015-09-30,23.8181
MITT,2015-12-31,20.8289
MITT,2016-03-31,22.0002
MITT,2016-06-30,25.1325
MITT,2016-09-30,28.2378
MITT,2016-12-31,31.5206
MITT,2017-03-31,34.1615
MITT,2017-06-30,35.5223
MITT,2017-09-30,37.5344
MITT,2017-12-31,38.0127
MITT,2018-03-31,35.6979
MITT,2018-06-30,39.6633
MITT,2018-09-30,39.4488
MITT,2018-12-31,35.6487
MITT,2019-03-31,38.8042
MITT,2019-06-30,37.8102
MITT,2019-09-30,37.0857
MITT,2019-12-31,38.8366
MITT,2020-03-31,6.90122
MITT,2020-06-30,8.03449
MITT,2020-09-30,6.95166
MITT,2020-12-31,7.5025
MITT,2021-03-31,10.3982
MITT,2021-06-30,11.1961
MITT,2021-09-30,10.1771
MITT,2021-12-31,9.31229
MITT,2022-03-31,8.63883
MITT,2022-06-30,6.46012
MITT,2022-09-30,4.11
MITT,2022-12-31,5.31
MITT,2023-03-31,5.75
MITT,2023-06-30,6.12
MITT,2023-09-30,5.55
MITT,2023-12-31,6.35
MITT,2024-03-31,6.12
MITT,2024-06-30,6.64
